ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11222251,JB140176,2/3/2018 17:01,040XX W IRVING PARK RD,860,THEFT,RETAIL THEFT,DRUG STORE,TRUE,FALSE,1732,17,39,16,6,1148903,1926279,2018,5/4/2018 15:51,41.95364341,-87.72801475,"(41.953643409, -87.72801475)"
11222252,JB140271,2/3/2018 19:00,004XX S KOSTNER AVE,2092,NARCOTICS,SOLICIT NARCOTICS ON PUBLICWAY,GAS STATION,TRUE,FALSE,1131,11,24,26,18,1147128,1897570,2018,5/4/2018 15:51,41.87489728,-87.73527581,"(41.874897275, -87.735275814)"
11222368,JB140270,2/3/2018 18:40,007XX N MICHIGAN AVE,860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,TRUE,FALSE,1833,18,42,8,6,1177294,1905494,2018,5/4/2018 15:51,41.89601097,-87.62427907,"(41.896010965, -87.624279065)"
11222370,JB140327,2/3/2018 19:58,008XX N DEARBORN ST,326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,FALSE,FALSE,1832,18,42,8,3,1175778,1906291,2018,5/4/2018 15:51,41.89823222,-87.62982295,"(41.898232218, -87.629822952)"
11222373,JB140063,2/3/2018 15:35,078XX S JEFFERY BLVD,460,BATTERY,SIMPLE,SIDEWALK,FALSE,FALSE,414,4,8,43,08B,1190893,1853483,2018,5/4/2018 15:51,41.75297083,-87.57601756,"(41.752970828, -87.576017557)"
11222374,JB140199,2/3/2018 16:45,117XX S MARSHFIELD AVE,860,THEFT,RETAIL THEFT,GROCERY FOOD STORE,TRUE,FALSE,2234,22,34,75,6,1167518,1826850,2018,5/4/2018 15:51,41.68041843,-87.66243795,"(41.680418426, -87.662437948)"
11222404,JB140312,2/3/2018 17:00,032XX W BELMONT AVE,820,THEFT,$500 AND UNDER,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1412,14,35,21,6,1154055,1921095,2018,5/4/2018 15:51,41.93931673,-87.70921414,"(41.939316729, -87.709214136)"
11222472,JB140374,2/3/2018 20:30,059XX N LINCOLN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,HOTEL/MOTEL,TRUE,TRUE,2011,20,40,2,14,1154922,1939314,2018,5/4/2018 15:51,41.9892934,-87.70553704,"(41.989293402, -87.705537043)"
11222473,JB140486,2/3/2018 15:00,001XX E 18TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,132,1,2,33,14,1177886,1891609,2018,5/4/2018 15:51,41.85789631,-87.62252714,"(41.857896307, -87.622527137)"
11222509,JB140476,2/3/2018 22:50,014XX S CANAL ST,560,ASSAULT,SIMPLE,OTHER,FALSE,FALSE,124,1,2,28,08A,1173362,1893147,2018,5/4/2018 15:51,41.86221827,-87.63908716,"(41.862218265, -87.639087164)"
11222668,JB140758,2/3/2018 16:00,020XX W SCHILLER ST,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,1424,14,1,24,11,1162574,1909428,2018,5/4/2018 15:51,41.90712726,-87.67823202,"(41.907127255, -87.678232016)"
11222831,JB141041,2/3/2018 2:00,049XX S WOOD ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,931,9,16,61,6,1165183,1871889,2018,5/4/2018 15:51,41.80406168,-87.66971383,"(41.804061677, -87.669713825)"
11222832,JB141038,2/3/2018 17:00,005XX S OAKLEY BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,1225,12,2,28,14,1161151,1897574,2018,5/4/2018 15:51,41.87462859,-87.68378894,"(41.874628587, -87.683788939)"
11222848,JB141015,2/3/2018 13:24,023XX E 73RD ST,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,FALSE,334,3,7,43,6,1193268,1857017,2018,5/4/2018 15:51,41.76261071,-87.56719895,"(41.762610705, -87.567198947)"
11222870,JB141120,2/3/2018 12:00,024XX W CORTLAND ST,820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,1434,14,1,22,6,1159729,1912549,2018,5/4/2018 15:51,41.91575067,-87.68859675,"(41.915750665, -87.688596747)"
11222877,JB140905,2/3/2018 18:00,049XX W NORTH AVE,820,THEFT,$500 AND UNDER,ATHLETIC CLUB,FALSE,FALSE,2533,25,37,25,6,1143333,1910186,2018,5/4/2018 15:51,41.90958877,-87.74889413,"(41.909588772, -87.748894125)"
11222881,JB141119,2/3/2018 19:30,099XX S LA SALLE ST,620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,FALSE,FALSE,511,5,9,49,5,1177028,1838961,2018,5/4/2018 15:51,41.71344428,-87.62726343,"(41.713444283, -87.627263429)"
11222885,JB141030,2/3/2018 20:00,046XX W FLOURNOY ST,610,BURGLARY,FORCIBLE ENTRY,OTHER,FALSE,FALSE,1131,11,24,25,5,1145508,1896622,2018,5/4/2018 15:51,41.87232667,-87.74124785,"(41.872326668, -87.741247852)"
11222912,JB141063,2/3/2018 19:30,052XX W EDDY ST,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,FALSE,FALSE,1634,16,38,15,26,1140904,1923103,2018,5/4/2018 15:51,41.94507944,-87.75749868,"(41.945079437, -87.757498675)"
11222917,JB141170,2/3/2018 20:00,090XX S HERMITAGE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2221,22,21,73,14,1166132,1844742,2018,5/4/2018 15:51,41.72954651,-87.66700464,"(41.729546512, -87.667004638)"
11223271,JB141675,2/3/2018 17:30,0000X E 95TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,PARK PROPERTY,FALSE,FALSE,511,5,6,49,14,1178532,1842005,2018,5/4/2018 15:51,41.72176344,-87.62166313,"(41.721763443, -87.621663126)"
11223288,JB141687,2/3/2018 23:00,008XX W FULTON MARKET,890,THEFT,FROM BUILDING,OTHER,FALSE,FALSE,1214,12,27,28,6,1170577,1902075,2018,5/4/2018 15:51,41.88677869,-87.64904915,"(41.886778688, -87.649049147)"
11223306,JB141776,2/3/2018 21:30,060XX W BYRON ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1633,16,38,17,6,1135301,1925293,2018,5/4/2018 15:51,41.95119047,-87.77804129,"(41.951190468, -87.77804129)"
11223321,JB141732,2/3/2018 19:30,060XX N BROADWAY,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2433,24,48,77,7,1167215,1940081,2018,5/4/2018 15:51,41.99114189,-87.66029947,"(41.991141887, -87.660299473)"
11223720,JB141856,2/3/2018 12:40,020XX W FARRAGUT AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,2012,20,40,4,11,,,2018,2/10/2018 16:08,,,
11223658,JB142361,2/3/2018 14:00,051XX S HONORE ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,932,9,16,61,14,1164886,1870561,2018,5/4/2018 15:51,41.80042377,-87.67084062,"(41.800423773, -87.67084062)"
11223661,JB142231,2/3/2018 14:00,083XX S ELLIS AVE,820,THEFT,$500 AND UNDER,OTHER,FALSE,FALSE,632,6,8,44,6,1184339,1849858,2018,5/4/2018 15:51,41.74317925,-87.60014826,"(41.74317925, -87.600148257)"
11224439,JB143460,2/3/2018 20:20,020XX N CLEVELAND AVE,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,RESTAURANT,TRUE,FALSE,1812,18,43,7,22,1172597,1913936,2018,5/4/2018 15:51,41.91928148,-87.64127985,"(41.919281476, -87.64127985)"
11224582,JB142852,2/3/2018 14:17,014XX W 63RD ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER,FALSE,FALSE,713,7,16,67,26,1167639,1862965,2018,5/4/2018 15:51,41.77952077,-87.66096236,"(41.779520772, -87.660962362)"
11224585,JB143086,2/3/2018 1:37,026XX N HALSTED ST,820,THEFT,$500 AND UNDER,BAR OR TAVERN,FALSE,FALSE,1935,19,43,7,6,1170489,1917762,2018,5/4/2018 15:51,41.92982662,-87.64891265,"(41.929826624, -87.648912651)"
11224602,JB142988,2/3/2018 0:30,015XX N MILWAUKEE AVE,890,THEFT,FROM BUILDING,BAR OR TAVERN,FALSE,FALSE,1424,14,1,24,6,1163008,1910416,2018,5/4/2018 15:51,41.90982929,-87.67660996,"(41.909829291, -87.676609962)"
